,x,y,z,vx,vy,vz,phi,theta,psi,wx,wy,wz,a1,a2,a3,a4,r
2.9,0.006052867,-0.002610571,0.013489974,8.4217146e-07,2.712667e-07,-1.397363e-06,-1.0193229e-06,1.263656e-06,0.00048674206,-5.8870344e-05,8.214983e-05,-1.8639897e-05,-0.24649805,-0.24649805,-0.24649805,-0.24649805,-0.973245484208906
3.0,0.006052826,-0.0026106292,0.01349,3.81719e-07,1.6720583e-07,-6.325341e-07,-3.03629e-07,4.215297e-07,0.0004846955,-3.8287726e-05,4.7290243e-05,-1.5689347e-05,-0.7782761,-0.7782761,-0.7782761,-0.7782761,-0.973245432566244
3.1,0.0060528438,-0.0026106616,0.013489984,-3.0414373e-07,-4.769251e-07,-3.706311e-07,-5.5871715e-07,7.0254555e-07,0.00048198565,1.5712194e-05,-9.21118e-06,-9.801887e-06,-1.0,-1.0,-1.0,-1.0,-0.9732454641872417
3.2,0.006052841,-0.0026106725,0.013492283,-3.1637285e-07,-5.201891e-07,-0.0017157781,-6.391955e-07,8.6185423e-07,0.00048047904,2.4231758e-05,-1.6246042e-05,-9.802691e-06,-1.0,-1.0,-1.0,-1.0,-0.9732409273836644
3.3,0.00605282,-0.002610706,0.013504084,4.8503e-07,2.211773e-07,-0.00030289736,-6.587661e-07,8.7973115e-07,0.00047908802,-4.2393945e-05,5.4123993e-05,-1.6547983e-05,-1.0,-1.0,-1.0,-1.0,-0.9732176443067879
3.4,0.006052854,-0.00261066,0.0134898685,2.5257352e-06,1.8397726e-06,-7.638199e-06,-7.688689e-07,-2.986263e-06,0.00047870135,-0.00010625693,7.2884905e-05,1.8449815e-05,-0.90460455,-0.90460455,-0.90460455,-0.90460455,-0.9732456921550066
3.5,0.0060528754,-0.0026105512,0.013489588,7.455427e-06,2.1256745e-05,-3.7133257e-05,-2.9755943e-06,-4.1708045e-06,0.00047903557,-0.001382453,0.00095439394,-7.610076e-05,-0.97185546,-0.97185546,-0.97185546,-0.97185546,-0.9732462449396944
3.6,0.0060527558,-0.002610465,0.013497496,-3.42235e-08,3.5760678e-07,-0.0015503378,-4.22078e-07,8.9227797e-07,0.0004757935,1.4995473e-05,8.5073543e-07,-1.3569201e-05,0.02213025,0.02213025,0.02213025,0.02213025,-0.9732306407312977
3.6999999999999997,0.0060526803,-0.0026104522,0.013490027,-6.7485907e-06,-1.0147269e-06,5.580847e-06,-2.611976e-07,-6.3476523e-07,0.00047617508,6.132343e-05,-0.0004202254,-2.4718835e-05,-0.7953822,-0.7953822,-0.7953822,-0.7953822,-0.9732453765899419
3.8,0.0060526486,-0.0026103482,0.013524609,1.5889555e-06,4.979011e-06,-0.002195918,-9.007844e-06,4.7239305e-06,0.00047453315,-0.0003529241,0.00028218114,-3.7026268e-05,-1.0,-1.0,-1.0,-1.0,-0.9731771461401985
3.9,0.0060507045,-0.0026104955,0.013490017,-1.8922494e-05,3.3096637e-06,-0.00028682247,6.8066925e-08,3.2329675e-07,0.00047266603,-0.00024266102,-0.001483639,2.1535407e-05,-1.0,-1.0,-1.0,-1.0,-0.9732453731148635
4.0,0.0060507143,-0.0026105037,0.013490007,1.8725761e-06,1.131323e-06,2.3818648e-06,2.9390281e-07,-1.2630129e-06,0.00047337593,-8.225996e-05,0.00013765522,3.3892272e-07,-0.55602664,-0.55602664,-0.55602664,-0.55602664,-0.9732453916509285
4.1,0.0060506784,-0.002610611,0.013489955,7.5192515e-06,-1.2945093e-06,-2.7055601e-05,8.4016114e-07,-2.7850958e-06,0.00047205843,6.362933e-05,0.00054732553,-2.9873186e-06,-0.07629156,-0.07629156,-0.07629156,-0.07629156,-0.9732454946784436
4.2,0.00605084,-0.0026106134,0.013489705,-5.1444786e-06,7.2281273e-07,3.601263e-07,-2.1181188e-06,8.199771e-06,0.00047195566,-6.120877e-05,-0.00037445166,2.7398175e-06,-0.58193,-0.58193,-0.58193,-0.58193,-0.9732459909384628
4.3,0.006050779,-0.0026106418,0.013489838,-1.6648748e-07,1.9898509e-10,3.542723e-07,-1.2770594e-06,4.7473754e-06,0.00047250747,-1.0767607e-05,-1.8273869e-06,4.255736e-06,-1.0,-1.0,-1.0,-1.0,-0.9732457275834112
4.4,0.0060507334,-0.0026106671,0.013489945,-1.7809245e-06,5.3706185e-07,-6.435596e-08,-3.640579e-07,1.9939396e-06,0.00047298658,-2.8215987e-05,-0.00013384272,-1.39437e-06,-1.0,-1.0,-1.0,-1.0,-0.9732455158490696
4.5,0.006050856,-0.0026106376,0.013546289,3.9008432e-06,1.0591224e-06,-0.005592377,-1.7499948e-06,8.713014e-06,0.0004730805,-3.8087077e-05,0.00014499744,-2.3205369e-06,0.41396916,0.41396916,0.41396916,0.41396916,-0.9731343523397039
4.6,0.006050404,-0.0026108604,0.013489438,-9.042609e-05,-3.749887e-05,-0.0032440182,1.5129562e-05,-2.5370393e-05,0.00047293384,0.0028299387,-0.006820124,1.3648823e-05,-0.63097715,-0.63097715,-0.63097715,-0.63097715,-0.9732465124843002
4.7,0.0060508153,-0.002610763,0.013507255,-1.6749495e-06,8.554323e-07,0.004193462,2.1066694e-06,8.179247e-06,0.0004728017,-7.391461e-05,-0.00017267774,2.274526e-06,1.0,1.0,1.0,1.0,-0.973211363691189
4.8,0.00605074,-0.002610717,0.013489954,-9.602591e-07,-9.809452e-07,-2.1129017e-06,1.2888434e-06,2.3735438e-06,0.0004729004,3.0929667e-05,2.6032583e-05,-2.8043656e-05,-1.0,-1.0,-1.0,-1.0,-0.9732454978129398
4.9,0.0060509387,-0.0026104383,0.013489055,-3.6076365e-06,-1.6927414e-05,-1.2223162e-05,-2.1715476e-05,1.8263516e-05,0.00047150283,0.0013177369,-0.00027597882,2.0825602e-05,-1.0,-1.0,-1.0,-1.0,-0.9732472719699029
5.0,0.006050637,-0.002610698,0.013496476,-1.8922755e-06,7.29329e-07,0.0015505272,-1.3801856e-07,-7.619753e-08,0.00047191192,-2.981835e-05,-6.982104e-05,2.4856368e-05,0.37500668,0.37500668,0.37500668,0.37500668,-0.9732326283720234
