,x,y,z,vx,vy,vz,phi,theta,psi,wx,wy,wz,a1,a2,a3,a4,r
3.0,0.7707442506258195,3.653201609276865,5.06919487446488,1.1775922659617797,-0.8062543983943987,-0.3791160342775808,0.4988783560990945,0.2048560369107711,0.7747499892687527,-0.43468954658243864,-2.092906051466205,2.185647318753899,15469.481496188604,13769.490428294495,15942.506250709997,15014.865673773103,-30.498275624267077
3.1,0.9115344896048436,3.562798308680481,5.031796433349587,1.5883569802195219,-0.9718705826667584,-0.3318358663826435,0.24355665120894385,0.08936728124208446,0.9093976739909644,-1.0766860365995468,-3.136964647566512,1.2877253970804101,16296.5060085574,15097.02495763357,16617.877655219316,15499.11704497795,-29.779809394046108
3.2,1.0793828074652205,3.4634009364421834,5.009161462616649,1.7058239682801142,-0.9918078135754202,-0.12148321565044963,-0.05322628233222331,0.008653759698821793,0.984870728431141,-1.0830171792024763,-2.4143046265519654,0.566188012825966,16325.59673796493,16124.676204581072,16330.228917501896,15073.260927469397,-29.233588924930565
3.3,1.2428738340479366,3.3688313646146573,5.006581915881991,1.5343293563645375,-0.8845885485055875,0.046660478260518334,-0.27674609399843386,-0.0004953339843310771,1.0200708112674894,-1.1412546485193926,-1.5499098770441753,0.20498405348417004,15740.083945310329,15869.670471741854,15624.01969409217,15157.360968248813,-28.946458779245077
3.4,1.379736681229424,3.2907884383111536,5.01546107041581,1.1976273809237916,-0.6694061675846442,0.1108933729817148,-0.4348534515996896,0.025134071881215792,1.0330061563732549,-0.8520850471883264,-0.9439770562370491,0.13772155541227438,15634.203542458523,15467.039434499733,14960.098822284086,15095.331808989195,-28.856889463277238
3.5,1.4781015806173103,3.238190655414735,5.02571673184144,0.7780262249097081,-0.38976874075871676,0.0828924944146754,-0.5170401078710009,0.027367563399185023,1.051684473450615,0.02045376037390622,-0.5014804954733229,0.29548535002028187,15699.709582200441,14913.831635075047,14637.278305627224,14867.420645294085,-28.877058208466824
3.6,1.5321760762411338,3.2132834719317187,5.030215668538146,0.31756823067720563,-0.12967673916198091,0.006596606025132486,-0.5258007505522486,-0.03405019704617224,1.0835582655570335,0.8474741836137948,-0.27557887848496815,0.28293974348844764,15409.052954073213,14661.678318033591,14954.822085322307,14531.964053716896,-28.915392534525612
3.6999999999999997,1.5388786151616565,3.2102226033368577,5.026486026686203,-0.16573342376260813,0.04473969236881714,-0.07730095994094992,-0.49204689221323955,-0.12956658237161747,1.0928701638592921,1.0337398397100528,0.2168299939292445,-0.03298692626825638,14838.422231119803,15680.863264700842,14677.144462524022,14123.741033296625,-28.886266278275976
3.8,1.4978317566817194,3.2196757919376684,5.01524316244467,-0.6228342676269463,0.12701279388105013,-0.13501579105155034,-0.36166229748123785,-0.16387116338166222,1.0728032039523139,0.8392198198582114,1.6502270078456995,0.09774795798111226,14923.96117081798,15782.335765930187,14499.545240586867,14488.351696161302,-28.731989830072376
3.9,1.4174896558770242,3.2330090546317805,5.0023870411420654,-0.9376575558188726,0.12597827927062974,-0.10858651771393053,-0.1444351257812776,-0.13038345722079064,1.0566533198095887,0.6322793769292422,2.217721924991315,0.1848439716150577,14978.989907949464,15263.00372805096,15167.844249335012,14999.840337425343,-28.48072649895138
4.0,1.3170739445123947,3.2423704074026447,4.995464550857825,-1.0270812497806792,0.055066832151361274,-0.031217476796763642,0.07468551608647886,-0.06314421054509699,1.0518833795419464,0.3597233856382667,2.1706480190228126,0.14863859803440949,14910.201283887189,14974.66570632254,15262.07293184162,15103.61485524999,-28.21138661127536
